"Time";replicas
"2019-08-13T09:49:30+01:00";1
"2019-08-13T09:49:45+01:00";1
"2019-08-13T09:50:00+01:00";1
"2019-08-13T09:50:15+01:00";1
"2019-08-13T09:50:30+01:00";1
"2019-08-13T09:50:45+01:00";4
"2019-08-13T09:51:00+01:00";4
"2019-08-13T09:51:15+01:00";7
"2019-08-13T09:51:30+01:00";7
"2019-08-13T09:51:45+01:00";7
"2019-08-13T09:52:00+01:00";7
"2019-08-13T09:52:15+01:00";7
"2019-08-13T09:52:30+01:00";7
"2019-08-13T09:52:45+01:00";7
"2019-08-13T09:53:00+01:00";7
"2019-08-13T09:53:15+01:00";7
"2019-08-13T09:53:30+01:00";7
"2019-08-13T09:53:45+01:00";7
"2019-08-13T09:54:00+01:00";7
"2019-08-13T09:54:15+01:00";7
"2019-08-13T09:54:30+01:00";7
"2019-08-13T09:54:45+01:00";7
"2019-08-13T09:55:00+01:00";7
"2019-08-13T09:55:15+01:00";7
"2019-08-13T09:55:30+01:00";7
"2019-08-13T09:55:45+01:00";7
"2019-08-13T09:56:00+01:00";7
"2019-08-13T09:56:15+01:00";7
"2019-08-13T09:56:30+01:00";7
"2019-08-13T09:56:45+01:00";7
"2019-08-13T09:57:00+01:00";7
"2019-08-13T09:57:15+01:00";7
"2019-08-13T09:57:30+01:00";7
"2019-08-13T09:57:45+01:00";7
"2019-08-13T09:58:00+01:00";7
"2019-08-13T09:58:15+01:00";7
"2019-08-13T09:58:30+01:00";7
"2019-08-13T09:58:45+01:00";7
"2019-08-13T09:59:00+01:00";7
"2019-08-13T09:59:15+01:00";7
"2019-08-13T09:59:30+01:00";7
"2019-08-13T09:59:45+01:00";7
"2019-08-13T10:00:00+01:00";7
"2019-08-13T10:00:15+01:00";7
"2019-08-13T10:00:30+01:00";7
"2019-08-13T10:00:45+01:00";7
"2019-08-13T10:01:00+01:00";7
"2019-08-13T10:01:15+01:00";7
"2019-08-13T10:01:30+01:00";7
"2019-08-13T10:01:45+01:00";7
"2019-08-13T10:02:00+01:00";7
"2019-08-13T10:02:15+01:00";7
"2019-08-13T10:02:30+01:00";7
"2019-08-13T10:02:45+01:00";7
"2019-08-13T10:03:00+01:00";7
"2019-08-13T10:03:15+01:00";7
"2019-08-13T10:03:30+01:00";7
"2019-08-13T10:03:45+01:00";7
"2019-08-13T10:04:00+01:00";7
"2019-08-13T10:04:15+01:00";7
"2019-08-13T10:04:30+01:00";7
"2019-08-13T10:04:45+01:00";7
"2019-08-13T10:05:00+01:00";7
"2019-08-13T10:05:15+01:00";7
"2019-08-13T10:05:30+01:00";7
"2019-08-13T10:05:45+01:00";3
"2019-08-13T10:06:00+01:00";3
"2019-08-13T10:06:15+01:00";3
"2019-08-13T10:06:30+01:00";3
"2019-08-13T10:06:45+01:00";3
"2019-08-13T10:07:00+01:00";3
"2019-08-13T10:07:15+01:00";3
"2019-08-13T10:07:30+01:00";3
"2019-08-13T10:07:45+01:00";3
"2019-08-13T10:08:00+01:00";3
"2019-08-13T10:08:15+01:00";3
"2019-08-13T10:08:30+01:00";3
"2019-08-13T10:08:45+01:00";3
"2019-08-13T10:09:00+01:00";3
"2019-08-13T10:09:15+01:00";3
"2019-08-13T10:09:30+01:00";3
"2019-08-13T10:09:45+01:00";3
"2019-08-13T10:10:00+01:00";3
"2019-08-13T10:10:15+01:00";3
"2019-08-13T10:10:30+01:00";3
"2019-08-13T10:10:45+01:00";2
"2019-08-13T10:11:00+01:00";2
"2019-08-13T10:11:15+01:00";2
"2019-08-13T10:11:30+01:00";2
"2019-08-13T10:11:45+01:00";2
"2019-08-13T10:12:00+01:00";2
"2019-08-13T10:12:15+01:00";2
"2019-08-13T10:12:30+01:00";2
"2019-08-13T10:12:45+01:00";2
"2019-08-13T10:13:00+01:00";2
"2019-08-13T10:13:15+01:00";2
"2019-08-13T10:13:30+01:00";2
"2019-08-13T10:13:45+01:00";2
"2019-08-13T10:14:00+01:00";2
"2019-08-13T10:14:15+01:00";2
"2019-08-13T10:14:30+01:00";2
"2019-08-13T10:14:45+01:00";2
"2019-08-13T10:15:00+01:00";2
"2019-08-13T10:15:15+01:00";2
"2019-08-13T10:15:30+01:00";2
"2019-08-13T10:15:45+01:00";1
"2019-08-13T10:16:00+01:00";1
